jisoo,,,,,,,,,,,,
id,img name,Category,Color,Attribute1,Attribute 2,Attribute 3,Similar_img1,Similar_img2,Similar_img3,URL_1,URL_2,URL_3
9,jn_new_6,Skirt,201D3D,mini_length,pleated,cotton,tennis_skirt_36.png,tennis_skirt_25.png,tennis_skirt_41.png,https://www.amazon.com/SOLY-HUX-Womens-Elastic-Flared/dp/B089K1FNMS/ref=sr_1_36?dchild=1&keywords=tennis+skirt&qid=1622714937&refinements=p_n_size_browse-vebin%3A2343349011&rnid=2343347011&s=fashion-womens-intl-ship&sr=1-36,https://www.amazon.com/BQTQ-Pleated-School-Uniform-Skirts/dp/B08LQ7HHXM/ref=sr_1_25?dchild=1&keywords=tennis+skirt&qid=1622714937&refinements=p_n_size_browse-vebin%3A2343349011&rnid=2343347011&s=fashion-womens-intl-ship&sr=1-25,https://www.amazon.com/COOrun-Women-Girls-Pleated-School/dp/B08RJQ2NJB/ref=sr_1_41?dchild=1&keywords=tennis+skirt&qid=1622714937&refinements=p_n_size_browse-vebin%3A2343349011&rnid=2343347011&s=fashion-womens-intl-ship&sr=1-41
10,jn_new_8,Blouse,F7F35F,long_sleeve,mini_length,v_neckline,yellow_frill_blouse_2.png,yellow_frill_blouse_4.png,yellow_frill_blouse_35.png,https://www.amazon.com/Romwe-Womens-Casual-Sleeve-Blouse/dp/B087X66PKD/ref=sr_1_2?dchild=1&keywords=frill+blouse&qid=1622716235&refinements=p_n_size_browse-vebin%3A2343364011&rnid=1040660&s=fashion-womens-intl-ship&sr=1-2,https://www.amazon.com/Romwe-Womens-Sleeve-Blouse-Yellow/dp/B087X7FDQH/ref=sr_1_4?dchild=1&keywords=frill+blouse&qid=1622716235&refinements=p_n_size_browse-vebin%3A2343364011&rnid=1040660&s=fashion-womens-intl-ship&sr=1-4,https://www.amazon.com/SheIn-Womens-Sleeve-Ruffle-Peplum/dp/B07PMPZZQL/ref=sr_1_35?dchild=1&keywords=frill+blouse&qid=1622716235&refinements=p_n_size_browse-vebin%3A2343364011&rnid=1040660&s=fashion-womens-intl-ship&sr=1-35
lisa,,,,,,,,,,,,
id,img name,Category,Color,Attribute1,Attribute 2,Attribute 3,Similar_img1,Similar_img2,Similar_img3,URL_1,URL_2,URL_3
1,ls_1,Jeans,2A344D,denim,tight,maxi_length,jeans_50.png,jeans_10.png,jeans_53.png,https://www.amazon.com/Gloria-Vanderbilt-Womens-Classic-Tapered/dp/B079VJZVD3/ref=sr_1_50?dchild=1&keywords=jeans&qid=1622598761&s=apparel&sr=1-50,https://www.amazon.com/Gloria-Vanderbilt-Classic-Tapered-Portland/dp/B073H8C7YN/ref=sr_1_10?dchild=1&keywords=jeans&qid=1622598761&s=apparel&sr=1-10,https://www.amazon.com/LEE-Womens-Sculpting-Slim-Infinity/dp/B07BZZKXP3/ref=sr_1_53?dchild=1&keywords=jeans&qid=1622598761&s=apparel&sr=1-53
2,ls_5,Dress,E90509,short_sleeve,cotton,mini_length,dot_dress_16.png,dot_dress_56.png,dot_dress_12.png,https://www.amazon.com/Romwe-Womens-Stretchy-Flared-Cocktail/dp/B07GYQ6D1J/ref=sr_1_16?dchild=1&keywords=dot+dress&qid=1622541832&s=apparel&sr=1-16,https://www.amazon.com/Berydress-Flattering-Spaghetti-Sundress-6046-Red/dp/B07RRFR62B/ref=sr_1_56?dchild=1&keywords=dot+dress&qid=1622541832&s=apparel&sr=1-56,https://www.amazon.com/Relipop-Summer-Sleeve-Dresses-X-Large/dp/B07DPBT9BJ/ref=sr_1_12?dchild=1&keywords=dot+dress&qid=1622541832&s=apparel&sr=1-12
3,ls_9,Dress,0E1312,tight,mini_length,v_neckline,club_dress_12.png,club_dress_40.png,club_dress_28.png,https://www.amazon.com/BORIFLORS-Womens-Sleeve-Ruched-Bodycon/dp/B07JLBHSHT/ref=sr_1_12?dchild=1&keywords=long+sleeve+dress&qid=1622647361&rnid=2343347011&s=apparel&sr=1-12,https://www.amazon.com/Haola-Womens-Casual-Sleeve-Short/dp/B075HDPKCS/ref=sr_1_40?dchild=1&keywords=long+sleeve+dress&qid=1622647361&rnid=2343347011&s=apparel&sr=1-40,https://www.amazon.com/Mokoru-Womens-Elegant-Bodycon-X-Large/dp/B07XX3MM6S/ref=sr_1_28?dchild=1&keywords=long+sleeve+dress&qid=1622647361&rnid=2343347011&s=apparel&sr=1-28
4,ls_11,Blazer,1A1B1E,solid,long_sleeve,cotton,blazer_790.png,blazer_887.png,blazer_493.png,https://www.amazon.com/FLYCEHN-Blazer-Pocket-Sleeve-Cardigan/dp/B0922KSW51/ref=sr_1_646?dchild=1&keywords=blazer&qid=1622253556&s=apparel&sr=1-646,https://www.amazon.com/Ofenbuy-Womens-Cardigan-Boyfriend-Blazers/dp/B07QJG8HK3/ref=sr_1_725?dchild=1&keywords=blazer&qid=1622253577&s=apparel&sr=1-725,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_fashion-womens-clothing_sr_pg9_1?ie=UTF8&adId=A0288733ZQZROG8Y6NOQ&url=%2FCicy-Bell-Womens-Blazers-Jackets%2Fdp%2FB086SNB3QL%2Fref%3Dsr_1_401_sspa%3Fdchild%3D1%26keywords%3Dblazer%26qid%3D1622253502%26s%3Dapparel%26sr%3D1-401-spons%26psc%3D1%26smid%3DA24PX1KQ5C5Z58&qualifier=1622253502&id=278814025131266&widgetName=sp_mtf
5,ls_14,Jacket,7A9ED1,loose,denim,long_sleeve,jacket_185.png,jacket_767.png,jacket_373.png,https://www.amazon.com/Floerns-Womens-Ripped-Distressed-Casual/dp/B078M7D55N/ref=sr_1_152?dchild=1&keywords=jacket&qid=1622254108&rnid=1040660&s=apparel&sr=1-152,https://www.amazon.com/Zeagoo-Womens-Jackets-Sleeve-Pockets/dp/B089Q6J6TN/ref=sr_1_638?dchild=1&keywords=jacket&qid=1622254219&rnid=1040660&s=apparel&sr=1-638,https://www.amazon.com/Omoone-Womens-Oversized-0199-Denim-Blue-XL/dp/B07RBQRXYV/ref=sr_1_316?dchild=1&keywords=jacket&qid=1622254140&rnid=1040660&s=apparel&sr=1-316
6,ls_new_1,Dress,B7B0AE,mini_length,lattice,square_neckline,overall_dress_36.png,overall_dress_44.png,overall_dress_22.png,https://www.amazon.com/YOINS-Overall-Pinafore-Suspender-Plaid-Yellow/dp/B08B653JSP/ref=sr_1_36?dchild=1&keywords=overall+dress&qid=1622725546&rnid=1040660&s=fashion-womens-intl-ship&sr=1-36,https://www.amazon.com/Allegra-Overalls-Suspender-Pinafore-Christmas/dp/B08CMQ28BR/ref=sr_1_44?dchild=1&keywords=overall+dress&qid=1622725546&rnid=1040660&s=fashion-womens-intl-ship&sr=1-44,https://www.amazon.com/Hooever-Corduroy-Overalls-Pinafore-Jumpsuits%EF%BC%88Black-S%EF%BC%89/dp/B088NTRLYJ/ref=sr_1_22?dchild=1&keywords=overall+dress&qid=1622725546&rnid=1040660&s=fashion-womens-intl-ship&sr=1-22
